,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
146,Brewmaster 's Reserve Imperial Red Ale,Rock Bottom Orland Park,American Amber / Red Ale,9.20 % ,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Kinetic Brewing Company,American Strong Ale,7.60 % ,0
147,Dream Of The 90 's,Prohibition Pig,Amber Ale,6.10 % ,Prohibition Pig Dream of the 90s,Hangar 24 Craft Brewery,Barley Wine,- ,0
148,Crazy Mountain Boohai Red Ale &#40; Kura Koa &#41;,Crazy Mountain Brewing Company,American Amber / Red Ale,6 % ,Winter Seasonal Amber Ale,Dead Frog Brewing,Amber Ale,6 % ,0
149,Double Red Hot Ale,Destihl Brewery,American Amber / Red Ale,7.57 % ,Sick N Twisted Naughty Redhead Imperial Red Ale,Lagunitas Brewing Company,American Amber / Red Ale,- ,0
150,Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 % ,Iron Hill Shirt Tail Amber,Barley_s Brewing Company,Amber Ale,4.40 % ,0
151,Blarney Rock Irish Ale,Rockyard Brewing,American Amber / Red Ale,6.00 % ,Molly American Red Ale,Rockyard Brewing Company,Irish Ale,- ,0
152,Copperhead Amber Ale,Yalobusha Brewing Company,American Amber / Red Ale,5.60 % ,Yalobusha Copperhead Amber Ale,Yalobusha Brewing Company,Amber Ale,8.80 % ,0
153,Slanted Rock Iron Butt Red Ale,OPA-OPA Steakhouse & Brewery,American Amber / Red Ale,5.80 % ,Prohibition Pig Dream of the 90s,Slanted Rock Brewing Company,Amber Ale,- ,0
154,The Gentle Mongoose,Holy City Brewing,American Amber / Red Ale,6.90 % ,Holy City The Gentle Mongoose,Holy City Brewing,Amber Ale,6.90 % ,0
155,Mountain Town Cow Catcher Red Ale,Mountain Town Station Brewing Co. & Steakhouse,American Amber / Red Ale,- ,Worthy Eruption Imperial Red Ale,Mountain Town Brewing Company,American Strong Ale,5.80 % ,0
156,Trail Ridge Red,Estes Park Brewery,American Amber / Red Ale,7.50 % ,Pizza Orgasmica Amber Ale,Pizza Port &#40; Solana Beach &#41;,Bitter,4.50 % ,0
157,Holy City The Gentle Mongoose,Holy City Brewing,American Amber / Red Ale,6.90 % ,Noggin Floggin ( Bourbon Barrel Aged ),Holy City Brewing,Amber Ale,6 % ,0
158,Double Dragon Imperial Red Ale,Edge Brewing Company,American Strong Ale,8.20 % ,Edge Imperial Red Ale &#40; Spring Seasonal &#41;,John Harvard_s Brewhouse &#40; Corporate Office &#41;,American Amber / Red Ale,8.50 % ,0
159,Tumbledown Imp Imperial Red Ale,Redwood Lodge,American Amber / Red Ale,8.10 % ,Peak Organic The Maple Collaboration,Tumbledown Brewing LLC,American Strong Ale,7.80 % ,0
160,Driftwood Old Cellar Dweller Barleywine,Driftwood Brewery &#40; Canada &#41;,American Barleywine,11.60 % ,Red Hopper ( Imperial Red Ale ),Worthy Brewing Company,Barley Wine,8 % ,0
161,Freedom Soho Red,Freedom,Amber Lager/Vienna,4.70 % ,Red Dirt Imperial Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,10 % ,0
162,Cow Catcher Red,Mountain Town Station Brewing Co. & Steakhouse,American Amber / Red Ale,- ,6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ),Mountain Town Brewing Company,American Amber / Red Ale,5.80 % ,0
163,Fullers Traitors ' Gate,Fuller Smith & Turner PLC,American Amber / Red Ale,4.50 % ,Fuller_s Traitor_s Gate,Purrumbete Brewing,Amber Ale,4.50 % ,0
164,Merry Prankster Imperial Red Ale,Tumbledown Brewing LLC,American Amber / Red Ale,4.56 % ,Tumbledown Imp Imperial Red Ale,Howe Sound Inn & Brewing Company,American Strong Ale,7.80 % ,0
165,Red Shedman 's Imperial Amber Ale,Kinetic Brewing Company,American Amber / Red Ale,7.60 % ,Kinetic Infrared Imperial Red Ale,Swashbuckler Brewing Company,American Strong Ale,9.30 % ,0
166,Roundabout Imperial Red Ale,Bonfire Brewing Co. .,American Amber / Red Ale,8.80 % ,Anacapa Riptide Imperial Red Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,8 % ,0
167,Double Dread Imperial Red Ale,Mad River Brewing Company,American Strong Ale,8.60 % ,Bacchus / Burrow Bloodhound Blood Red IPA,Bacchus Brewing Company &#40; Australia &#41;,India Pale Ale &#40; IPA &#41;,7.00 % ,0
168,Barbarian Red Ale,CervecerÃa Barbarian,American Amber / Red Ale,6.50 % ,Barbarian Red Ale,CervecerÃa Barbarian,Amber Ale,9.10 % ,0
169,Fullers Traitors ' Gate,Fuller Smith & Turner PLC,Bitter,4.50 % ,Double Dread Imperial Red Ale,Fuller_s,American Strong Ale,4.50 % ,0
170,Molly American Red Ale,New Helvetia Brewing Company,Amber Ale,5.00 % ,Genesee Brew House American Red Ale,Liquid Mechanics Brewing Co. .,American Amber / Red Ale,5 % ,0
171,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,8.60 % ,Tumbledown Imp Imperial Red Ale,Breckenridge Brewery,American Strong Ale,7.10 % ,0
172,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 % ,Edge Imperial Red Ale &#40; Spring Seasonal &#41;,Edge Brewing Company,American Strong Ale,8.50 % ,0
173,Big Time Lift Ticket American Red Ale,New Helvetia Brewing Company,American Amber / Red Ale,5.00 % ,White Lion Insane Mane Red Ale,White Lion Brewing Company,India Pale Ale &#40; IPA &#41;,7 % ,0
174,Mountain Series : Love Rhino ( Imperial Red Ale ),Breckenridge Brewery,American Strong Ale,8.90 % ,Tumbledown Imp Imperial Red Ale,CervecerÃa Barbarian,Amber Ale,7.80 % ,0
175,Estes Park Trail Ridge Red,Grand Lake Brewing Company,American Amber / Red Ale,7.50 % ,Blood On The Blade Red IPA,Estes Park Brewery,Bitter,4.50 % ,0
176,Broadhead Bourbon Barrel Aged Red,Bainbridge Island Brewing Company,American Amber / Red Ale,8.50 % ,Flat 12 Barrel Aged Moustache Ride Red,Purrumbete Brewing,American Amber / Red Ale,- ,0
177,Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,7.50 % ,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,American Strong Ale,10 % ,0
178,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 % ,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,Fulton Beer Company,American Strong Ale,9.40 % ,0
179,Kern River Dirty Hippie Imperial Red Ale,Great River Brewery,American Strong Ale,9.00 % ,Kinetic Infrared Imperial Red Ale,Kern River Brewing,American Amber / Red Ale,8.60 % ,0
180,Unite Red Rye Ale,The Pike Brewing Company,American Amber / Red Ale,4.60 % ,Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,8.00 % ,0
181,Barrel Aged Imperial Red Ale,Boone Valley Brewing,American Amber / Red Ale,9.99 % ,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,5.00 % ,0
182,The Gentle Mongoose,Holy City Brewing,American Amber / Red Ale,6.90 % ,Hammond River Red Coat India Red Ale,Holy City Brewing,Amber Ale,6.50 % ,0
183,Arsenal Imperial Red Ale,Great River Brewery,American Amber / Red Ale,9.00 % ,Kern River Dirty Hippie Imperial Red Ale,Kern River Brewing,American Strong Ale,- ,0
184,Bourbon Barrel Aged Panama Red Ale,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,7.00 % ,AleSmith Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company,Barley Wine,11 % ,0
185,Double Dread Imperial Red Ale,Mad River Brewing Company,American Amber / Red Ale,8.60 % ,Ballast Point Tongue Buckler Imperial Red Ale,Ballast Point Brewing Company,Barley Wine,17.50 % ,0
186,Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,Amber Ale,4.70 % ,Sudwerk Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,Amber Ale,4.70 % ,0
187,Hawai'i Nui Sunset Amber Ale,Hawai'i Nui Brewing / Mehana Brewing Company,Amber Ale,5.45 % ,Grand Canyon Sunset Amber Ale,Grand Canyon Brewing Company,American Amber / Red Ale,5 % ,0
188,Barrel Aged Red Ale,BearWaters Brewing Co. .,American Amber / Red Ale,8.60 % ,Barley_s Barrel Aged Ulysses Imperial Red Ale,Barley_s Brewing Company,American Strong Ale,- ,0
189,Strada S. Felice,Grado Plato,American Amber / Red Ale,8 % ,Grado Plato Strada S. Felice,Birrificio Grado Plato,Spice/Herb/Vegetable,8.80 % ,0
190,Laurelwood Organic Deranger Imperial Red Ale,Boone Valley Brewing,American Strong Ale,9.99 % ,Midnight Sun Unite Double Red Hot Ale &#40; 2015 &#41;,Midnight Sun Brewing Company,American Amber / Red Ale,8.60 % ,0
191,Fisherman 's Tea Party,Cape Ann Brewing Company,American Barleywine,9.00 % ,Cape Ann Fisherman_s Tea Party,Stone Brewing Co. .,Barley Wine,9 % ,0
192,Eldred Rock Amber,Haines Brewing Co. .,Amber Ale,5.00 % ,Tumbledown Imp Imperial Red Ale,Bonfire Brewing Co. .,American Amber / Red Ale,5 % ,0
193,Freedom Soho Red,Freedom Brewery Ltd,American Amber / Red Ale,4.70 % ,Edge Imperial Red Ale &#40; Spring Seasonal &#41;,Freedom,American Strong Ale,4.70 % ,0
194,Red-oric - Beer Camp # 65 ( Best Of Beer Camp : Imperial Red Ale ),Sierra Nevada Brewing Co. .,American Amber / Red Ale,9.50 % ,Two Brothers Revelry Imperial Red Ale,Railway City Brewing Company,American Strong Ale,4.60 % ,0
195,BJ 's Imperial Red Ale,Fulton Beer Company,American Amber / Red Ale,8.50 % ,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,Heavy Seas Brewing Company,American Amber / Red Ale,6.00 % ,0
196,Eruption Imperial Red Ale,Custom Brewcrafters,American Amber / Red Ale,8.00 % ,Three Heads Buffalo Soul Jah Imperial Red Ale,Dark Horse Brewing Company,American Strong Ale,5.50 % ,0
197,Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,7.50 % ,Fuller_s Traitor_s Gate,Fuller Smith & Turner PLC,American Amber / Red Ale,8 % ,0
198,Heavyweight Ticklefight Champion Of The World,Solemn Oath Brewery,American Barleywine,12.00 % ,Solemn Oath Heavyweight Ticklefight Champion of the World,Aspen Brewing Company,Amber Ale,11.00 % ,0
199,Kingpin Double Red Ale,BridgePort Brewing Co. / Brewpub,American Amber / Red Ale,7.50 % ,Out of Bounds Relentless Double Red Ale,CervecerÃa Barbarian,American Strong Ale,8.20 % ,0
200,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 % ,Unite Red Rye Ale,The Pike Brewing Company,American Strong Ale,4.60 % ,0
201,Rip Saw Red,Pints Brewing Co. .,Amber Ale,5.90 % ,Pints Rip Saw Red,Rock Bottom Orland Park,American Amber / Red Ale,7.60 % ,0
202,Saint Gleason Imperial Red Ale,Abita Brewing Co. .,American Amber / Red Ale,- ,Hermit Thrush Abbey Series # 1 - Jolly Abbot Barley Wine,Mission Brewery,American Strong Ale,10.20 % ,0
203,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 % ,Red 's On Vacation,Kettle House Brewing Company,Amber Ale,13 % ,0
204,My Hoppy Valentine,Excel Brewing Company,Amber Ale,6.50 % ,Lavery Imperial Red Ale,Excel Brewing Company,American Amber / Red Ale,8.20 % ,0
205,John Harvards Oatmeal Amber Ale,Ornery Beer Company Public House,American Amber / Red Ale,5.70 % ,Pokertree Red Earl Ruby Ale,Pokertree,Amber Ale,4.00 % ,0
206,Starfish Imperial Red Ale,Worthy Brewing Company,American Amber / Red Ale,7.50 % ,Worthy Eruption Imperial Red Ale,West Sixth Brewing Company,American Amber / Red Ale,8 % ,0
