ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 % vironmental CIGABYLD,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 % BuyableInstoreAndOnline,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 % braska Beer_Name,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber,8.20 % itolodaCol Beer_Name,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Blueberry OR Red Ale,Boston Beer Works - Canal Street,American Blonde / Red Ale,8.50 % itol,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,American Amber / Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 % illiCO2 Colossal Colossal,0
Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 % ,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Blue Spring Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 % *************************** 8.6% *************************** A.C.P.S. - 2% ABV,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Boston Beer Works - Canal Street,Boston Beer Works - Canal Street,Black IPA / Red Ale,3.08 % itol,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Blue Ale,7.57 % ,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Brewery Cellar BEER Style Ale - Barrel Aged,Stone Brewing Co,American Imperial Brown Ale,10% *********************,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,3.05 % brew/ Colorful-orange/ Black/ Light Brown Colourful-orange/ Black/ Light Brown 1,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / White Ale,8.21 % intestinal_conditioning_info_x9_beer_label.xml col_key intestinal_conditioning_,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,- aciously,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 % illiLiet Beverages - St. John's Batch,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Orange Blossom Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,Pale Ale / Black Ale,6.40 % ,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Climax Noel - Imperial Red Ale,Eel River Brewing Co,American Amber / Red Ale,8.25 % retty,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Blueberry Red Ale,"Baker Brothers, Co. / Beer Store",American IPA / Red Ale,5.41 % ,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,35.00 % idedrew,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 % Brew_Factory_Name,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,LABEL_NAME,Eel River Brewing Co. .,American Amber / Red Ale,9.20 % ColStyle__,0
Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Three Beaver Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 % _________________________________________________________________________ _________________________________________________________________________ 4.9 9 9 10 10 11 11 12 12 13 13 14 15 14 16,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 % ertationCol Brew_Rate 1.4L 1.8L 2.8L 3.0L 4.,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 % ONSORED,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 % ,0
Ole ' Redbeard Barleywine ( Bourbon Barrel Aged ),Fitger 's Brewhouse,American Barleywine,-,Ole ' Ale ' beer,Fitger 's Brewhouse,'Redbeard Barleywine ( Bordeaux Barrel Aged ),,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Climax Noel - Imperial Red Ale,Eel River Brewing Company .,IPA,9.20 % ______________________________________________________________________________,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 % itoliolcol Beer_Name,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,White Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 % ,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 % zzo,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,Pannier Aged,11.20 % *************************** *COUPLE TURNUP & RENDING *************** We're proud to welcome the very deserving,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Alpine Ale,Alpine Ale,American Amber / Red Ale,5.40 %   ,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Amber Ale,Baird Brewing Company / Fishmarket Taproom,Ale Ales & Red,3.75 % Brew_Name WATERBOWING,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,5.27 %  Beer_Name,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 % ORIGINAL STYLE,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,12.75 % ,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,White Rose Amber Ale,Fisher Brewing Company,Red Rose Amber Ale,13.8% ,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Climax Noel - Imperial Pale Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 % uaniabrew.com_beer_name_new_,0
Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 % ONSORED,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 % ,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 % ____________________________________________ The Brewers at Old Guardian Brewery are proud to announce our first official Craft Beer Festival that is all about local craft beers,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 % isitions_french_brewer_brewer.html IPA Red Ale,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose Amber Ale,Chalk Tank,American Amber / Red Ale,5.40 % ,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,"7.57 % ilitary_brewer_brewer_state BIN 9,200,000 9,200,000 ABBRE",0
Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Four Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,1.5 % ,0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Redeemer Imperial Red Ale,Boston Beer Works - Canal,American Amber / Red Ale,83.05 % irez,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,0
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone,American Barleywine,11.20 % ,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Climax Noel - Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 % ,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose Amber Ale,Baird Brewing,Red Rose Amber Ale,5.40 % ,0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Green Valley Roo CO Budweiser / Kolsch / Coors Light,Baird Brewing Company / Fishmarket Taproom,Brown,5.40 % ,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 % IPA Style Brew_Factory_Name,0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Cappuccino & Vanilla Cake Porter - Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 % illi,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Double Red HOT ALE,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 % ABV,0
Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,Triple Red Cold Ale,Midnight Sun Brewing Co. .,White Bitter,7.57 %     ,0
